well,timepoint,od,concentration_level,concentration
a,1,0.017,low,0.01
b,1,0.017,low,0.03
c,1,0.018,medium,1
d,1,0.017,medium,3
e,1,0.017,medium,30
f,1,0.016,high,100
g,1,0.015,high,300
a,2,0.015,low,0.01
b,2,0.018,low,0.03
c,2,0.021,medium,1
d,2,0.015,medium,3
e,2,0.019,medium,30
f,2,0.015,high,100
g,2,0.016,high,300
a,3,0.016,low,0.01
b,3,0.015,low,0.03
c,3,0.016,medium,1
d,3,0.017,medium,3
e,3,0.016,medium,30
f,3,0.015,high,100
g,3,0.015,high,300
a,4,0.018,low,0.01
b,4,0.019,low,0.03
c,4,0.02,medium,1
d,4,0.018,medium,3
e,4,0.022,medium,30
f,4,0.018,high,100
g,4,0.018,high,300
a,5,0.022,low,0.01
b,5,0.021,low,0.03
c,5,0.024,medium,1
d,5,0.022,medium,3
e,5,0.022,medium,30
f,5,0.021,high,100
g,5,0.021,high,300
a,6,0.021,low,0.01
b,6,0.02,low,0.03
c,6,0.023,medium,1
d,6,0.022,medium,3
e,6,0.022,medium,30
f,6,0.02,high,100
g,6,0.019,high,300
a,7,0.025,low,0.01
b,7,0.024,low,0.03
c,7,0.025,medium,1
d,7,0.024,medium,3
e,7,0.024,medium,30
f,7,0.023,high,100
g,7,0.021,high,300
a,8,0.028,low,0.01
b,8,0.027,low,0.03
c,8,0.027,medium,1
d,8,0.026,medium,3
e,8,0.026,medium,30
f,8,0.024,high,100
g,8,0.024,high,300
a,9,0.026,low,0.01
b,9,0.025,low,0.03
c,9,0.025,medium,1
d,9,0.025,medium,3
e,9,0.026,medium,30
f,9,0.023,high,100
g,9,0.022,high,300
a,10,0.028,low,0.01
b,10,0.028,low,0.03
c,10,0.028,medium,1
d,10,0.028,medium,3
e,10,0.027,medium,30
f,10,0.025,high,100
g,10,0.024,high,300
a,11,0.03,low,0.01
b,11,0.031,low,0.03
c,11,0.029,medium,1
d,11,0.03,medium,3
e,11,0.029,medium,30
f,11,0.027,high,100
g,11,0.025,high,300
a,12,0.032,low,0.01
b,12,0.032,low,0.03
c,12,0.031,medium,1
d,12,0.032,medium,3
e,12,0.03,medium,30
f,12,0.029,high,100
g,12,0.027,high,300
a,13,0.033,low,0.01
b,13,0.033,low,0.03
c,13,0.035,medium,1
d,13,0.034,medium,3
e,13,0.033,medium,30
f,13,0.029,high,100
g,13,0.027,high,300
a,14,0.037,low,0.01
b,14,0.037,low,0.03
c,14,0.038,medium,1
d,14,0.036,medium,3
e,14,0.035,medium,30
f,14,0.032,high,100
g,14,0.028,high,300
a,15,0.041,low,0.01
b,15,0.038,low,0.03
c,15,0.038,medium,1
d,15,0.038,medium,3
e,15,0.036,medium,30
f,15,0.033,high,100
g,15,0.028,high,300
a,16,0.042,low,0.01
b,16,0.042,low,0.03
c,16,0.041,medium,1
d,16,0.041,medium,3
e,16,0.039,medium,30
f,16,0.035,high,100
g,16,0.031,high,300
a,17,0.042,low,0.01
b,17,0.043,low,0.03
c,17,0.043,medium,1
d,17,0.042,medium,3
e,17,0.037,medium,30
f,17,0.035,high,100
g,17,0.03,high,300
a,18,0.046,low,0.01
